"school_name";"koreaS_code";"school_code"
"가곡초등학교";"J10";7652009
"가남초등학교";"J10";7661017
"가납초등학교";"J10";7602003
"가내초등학교";"J10";7631209
"가능초등학교";"J10";7561020
"가람중학교";"J10";7621011
"가람초등학교";"J10";7621042
"가림중학교";"J10";7591003
"가림초등학교";"J10";7591014
"가사초등학교";"J10";7631025
"가산초등학교";"J10";7711018
"가수초등학교";"J10";7679076
"가양초등학교";"J10";7652010
"가온고등학교";"J10";7530907
"가온초등학교";"J10";7681161
"가운고등학교";"J10";7530974
"가운중학교";"J10";7652170
"가운초등학교";"J10";7652162
"가좌고등학교";"J10";7530854
"가좌초등학교";"J10";7621164
"가평고등학교";"J10";7530633
"가평마장초등학교";"J10";7721009
"가평북중학교";"J10";7721004
"가평중학교";"J10";7721005
"가평초등학교";"J10";7721010
"가현초등학교";"J10";7771115
"각골초등학교";"J10";7611033
"갈곡초등학교";"J10";7751054
"갈곶초등학교";"J10";7631026
"갈담초등학교";"J10";7679009
"갈매고등학교";"J10";7531270
"갈매중학교";"J10";7652287
"갈매초등학교";"J10";7652011
"갈뫼중학교";"J10";7642035
"갈뫼초등학교";"J10";7642003
"갈월중학교";"J10";7711006
"갈천초등학교";"J10";7679010
"갈현초등학교";"J10";7681024
"감일고등학교";"J10";7531390
"감일중학교";"J10";7692183
"감일초등학교";"J10";7692181
"감정중학교";"J10";7771067
"감정초등학교";"J10";7771039
"강상초등학교";"J10";7731016
"강선초등학교";"J10";7621043
"강천중학교";"J10";7661005
"강천초등학교";"J10";7661018
"강하중학교";"J10";7731005
"강하초등학교";"J10";7731017
"개곡초등학교";"J10";7771016
"개군중학교";"J10";7731011
"개군초등학교";"J10";7731018
"개산초등학교";"J10";7761014
"개정초등학교";"J10";7761015
"건원초등학교";"J10";7652166
"걸포초등학교";"J10";7771107
"검단초등학교";"J10";7551049
"검바위초등학교";"J10";7781044
"검산초등학교";"J10";7681025
"경기게임마이스터고등학교";"J10";7531377
"경기경영고등학교";"J10";7531275
"경기과학고등학교";"J10";7530045
"경기관광고등학교";"J10";7531056
"경기국제통상고등학교";"J10";7530989
"경기대명고등학교";"J10";7530551
"경기모바일과학고등학교";"J10";7530903
"경기물류고등학교";"J10";7530945
"경기북과학고등학교";"J10";7530851
"경기새울학교";"J10";7741109
"경기세무고등학교";"J10";7531052
"경기스마트고등학교";"J10";7531380
"경기영상과학고등학교";"J10";7530943
"경기예술고등학교";"J10";7530569
"경기외국어고등학교";"J10";7530909
"경기자동차과학고등학교";"J10";7530908
"경기창조고등학교";"J10";7530937
"경기체육고등학교";"J10";7530046
"경기체육중학교";"J10";7541327
"경기폴리텍고등학교";"J10";7531378
"경기항공고등학교";"J10";7531382
"경민IT고등학교";"J10";7530995
"경민고등학교";"J10";7530141
"경민비즈니스고등학교";"J10";7531061
"경민여자중학교";"J10";7561004
"경민중학교";"J10";7561003
"경북중학교";"J10";7711005
"경수중학교";"J10";7611027
"경수초등학교";"J10";7611034
"경안고등학교";"J10";7530143
"경안중학교";"J10";7692038
"경안초등학교";"J10";7692003
"경은학교";"J10";7530860
"경의초등학교";"J10";7561023
"경일관광경영고등학교";"J10";7531055
"경일초등학교";"J10";7611035
"경화여자English Business고등학교";"J10";7530993
"경화여자고등학교";"J10";7530535
"경화여자중학교";"J10";7692046
"계남고등학교";"J10";7530047
"계남중학교";"J10";7581010
"계남초등학교";"J10";7581044
"계명고등학교";"J10";7530410
"계명고등학교(2년제)";"J10";7530869
"계성초등학교";"J10";7631027
"계수초등학교";"J10";7781018
"계원예술고등학교";"J10";7530144
